,dustrate,dustrad,site,spinrun,climatefiles,duration,dustsp,dustsp_2nd,dustrate_2nd,add_secondary,imix,singlerun_seasonality,include_psd_full,include_psd_bulk,poro_iter_field,poro_evol,cec_adsorption_on,climatedir,sa_rule1,sa_rule2,psdrain_log10_sd,psdrain_wt,use_psdrain_datfile,include_roughness_sa,aws_save,aws_bucket,newrun_id,psdrain_meanRad,newrun_id_field_full,newrun_id_lab_full,rerun_needed,delay_needed,delete_localCase,rerun_n,delay_n,rerun_eligible
229,3000.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_3000p0_psize_1,1e-06,lowFert_cc_base_psdfull_site_311a_app_3000p0_psize_1_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_3000p0_psize_1_cc_lab_tau15p0,True,True,False,0,5,True
286,5000.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_5000p0_psize_1,1e-06,lowFert_cc_base_psdfull_site_311a_app_5000p0_psize_1_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_5000p0_psize_1_cc_lab_tau15p0,True,True,False,0,5,True
287,5000.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_5000p0_psize_3,3e-06,lowFert_cc_base_psdfull_site_311a_app_5000p0_psize_3_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_5000p0_psize_3_cc_lab_tau15p0,True,True,False,0,5,True
305,6000.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_1,1e-06,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_1_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_1_cc_lab_tau15p0,True,True,False,0,5,True
306,6000.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_3,3e-06,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_3_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_3_cc_lab_tau15p0,True,True,False,0,5,True
307,6000.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_6,6e-06,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_6_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_6_cc_lab_tau15p0,True,True,False,0,5,True
310,6000.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_20,2e-05,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_20_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_20_cc_lab_tau15p0,True,True,False,0,5,True
312,6000.0,40,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_40,4e-05,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_40_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_6000p0_psize_40_cc_lab_tau15p0,True,True,False,0,5,True
324,7000.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_1,1e-06,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_1_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_1_cc_lab_tau15p0,True,True,False,0,5,True
325,7000.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_3,3e-06,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_3_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_3_cc_lab_tau15p0,True,True,False,0,5,True
326,7000.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,cc,amnt,3.0,False,3,False,True,False,False,True,False,,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_6,6e-06,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_6_cc_field_tau15p0,lowFert_cc_base_psdfull_site_311a_app_7000p0_psize_6_cc_lab_tau15p0,True,True,False,0,5,True
