short_name,long_name,units,dims,save,sometimes_absent,is_dim
site,site,unitless,site,Y,Y,Y
feedstock,name of feedstock applied,unitless,feedstock,Y,N,Y
latitude,latitude of site,deg N,site,Y,N,N
longitude,longitude of site,deg E,site,Y,Y,N
albedo,albedo of site,unitless,site,Y,N,N
atm_co2_ppm,concentration of CO2 in atmosphere,ppmv,[],Y,N,N
runname,name of simulation,unitless,runname,Y,N,N
control,"boolean indicating whether this is a control simulation (e.g., no rock application)",unitless,[],Y,N,N
temp_air,temperature of air,deg C,time,Y,N,N
ET0,potential evapo(transpir)ation,m d-1,time,Y,N,N
rain,total precipitation per time step,m,time,Y,N,N
time,time,d,time,Y,N,Y
v,plant biomass,g m-2,time,Y,N,N
E,evaporation rate,m d-1,time,Y,N,N
Q,total surface runoff per timestep (Q = rain - I),m,time,Y,N,N
I,total infiltration of water into soil column per timestep (I = rain - Q),m,time,Y,N,N
SOC,soil organic carbon mass balance ,gC m-3,time,Y,N,N
CEC_tot_cmol,cation exchange capacity per 100 g of soil (constant),mmol_c / 100g,[],Y,N,N
climfn,name of climate file used,unitless,[],Y,Y,N
app_t_per_ha,mass of rock applied to field,tonne ha-1,app_t_per_ha,Y,N,Y
