SMEW data output,,accepted dims,,,,,,
,"Questions related to ""mol"" vs ""mol-conv"" confusion","time, site, feedstock, min, []",,,,,,
,Other questions,(note: [] denotes None),,,,,,
,,,,,,,,
,,,,,,,,
short_name,long_name,units,,dims,save,sometimes_absent,is_dim,dict
L,water export out of column,m d-1,,time,Y,N,N,outdict
T,transpiration,m d-1,,time,Y,N,N,outdict
I,water infiltration (P minus surface runoff),m,,time,Y,N,N,outdict
v,plant biomass,g m-2,,time,Y,N,N,outdict
k_v,plant biomass carrying capacity,g m-2,,[],Y,N,N,outdict
RAI,root area index,m2 m-2,,[],Y,N,N,outdict
root_d,average root diameter,m,,[],Y,N,N,outdict
r_het,heterotrophic respiration rate,umol m-2 d-1,,time,Y,N,N,outdict
r_aut,autotrophic respiration rate,umol m-2 d-1,,time,Y,N,N,outdict
D,diffusive flux of CO2,??,,time,Y,N,N,outdict
temp_soil,temperature of the soil,deg C,,time,Y,N,N,outdict
pH_in,initial pH of soil water,unitless,,[],N,N,N,outdict
conc_in,"initial concentration of cations in order: Ca, Mg, K, Na, Al_w",mol L-1,,[],N,N,N,outdict
f_CEC_in,"initial fraction of exchange sites with sorbed species in order: Ca, Mg, K, Na, Al, H",unitless,,[],N,N,N,outdict
K_CEC_in,"Gaines-Thomas CEC coefficients in order: Ca-Mg, Ca-K, Ca-Na, Ca-Al, Ca-H",unitless,,[],N,N,N,outdict
Si_in,initial concentration of silica in soil water,mol L-1,,[],N,N,N,outdict
CaCO3_in,initial mass of calcium carbonate in soil,g m-2,,[],N,N,N,outdict
MgCO3_in,initial mass of magnesium carbonate in soil,g m-2,,[],N,N,N,outdict
mineral,minerals in feedstock added to soil (array),unitless,,mineral,Y,N,Y,outdict
rock_f_in,mineral weight fraction in feedstock (order of values corresponds with `mineral`),unitless,,mineral,Y,N,N,outdict
d_in,grain diameter classes (order of values corresponds with `mineral`),m,,mineral,Y,N,N,outdict
psd_perc_in,"particle ""sediment diameter"" weight (order of values corresponds with `mineral`)",unitless,,mineral,Y,N,N,outdict
SSA_in,initial specific surface area classes (order of values corresponds with `mineral`),m2 g-1,,mineral,Y,N,N,outdict
diss_f,dissolution factor (tunable parameter),unitless,,[],Y,N,N,outdict
dt,time resolution ,d,,[],Y,N,N,outdict
conv_mol,factor to convert mol to micromol,unitless,,[],N,N,N,outdict
keyword_add,"switch: 1=balance background cation+anion losses with inputs (e.g., from rain, litterfall, background wx, etc); 0=no addition",unitless,,[],Y,N,N,outdict
pH,soil water pH,unitless,,time,Y,N,N,outdict
UP_Ca,active plant uptake of Ca during growth,umol d-1,,time,Y,N,N,outdict
Omega_CaCO3,saturation state with respect to calcium carbonate,unitless,,time,Y,N,N,outdict
CaCO3,mass of calcium carbonate in soil,umol,,time,Y,N,N,outdict
W_CaCO3,cation release flux from non-feedstock calcium carbonate dissolution (positive=dissolution; negative=precipitation),umol m-2 d-1,,time,Y,N,N,outdict
UP_Mg,active plant uptake of Mg during growth,umol d-1,,time,Y,N,N,outdict
Omega_MgCO3,saturation state with respect to magnesium carbonate,unitless,,time,Y,N,N,outdict
MgCO3,mass of magnesium carbonate in soil,umol,,time,Y,N,N,outdict
W_MgCO3,cation release flux from non-feedstock magnesium carbonate dissolution (positive=dissolution; negative=precipitation),umol m-2 d-1,,time,Y,N,N,outdict
UP_K,active plant uptake of K during growth,umol d-1,,time,Y,N,N,outdict
Si,silicon concentration in soil water,umol L-1,,time,Y,N,N,outdict
Si_tot,"silicon mass balance (aqueous only, no sorbed silicon)",mol,,time,Y,N,N,outdict
UP_Si,active plant uptake of Si during growth,umol d-1,,time,Y,N,N,outdict
root_ex,(not yet implemented? Defined in biogeochem.py but doesn't appear to be calculated),,,[],N,N,N,outdict
An,conservative anion concentration in water,umol L-1,,time,Y,N,N,outdict
An_tot,"conservative anion mass balance (aqueous only, no sorbed anions)",mol_c,,time,Y,N,N,outdict
CO2_air,concentration of CO2 in soil air,ppmv???,,time,Y,N,N,outdict
HCO3,concentration of HCO3- in soil water,mol L-1,,time,Y,N,N,outdict
CO3,concentration of CO3-- in soil water,mol L-1,,time,Y,N,N,outdict
DIC,concentration of total dissolved inorganic carbon in soil water,mol L-1,,time,Y,N,N,outdict
Fs,diffusive flux of CO2 out top of soil column,mol d-1,,time,Y,N,N,outdict
ADV,advective flux(??) of CO2 ,mol,,time,Y,N,N,outdict
DIC_rain,dissolved inorganic carbon concentration of infiltrating water,mol L-1,,time,Y,N,N,outdict
AlOH,concentration of AlOH++ in soil water,mol L-1,,time,Y,N,N,outdict
AlOH2,concentration of AlOH2+ in soil water,mol L-1,,time,Y,N,N,outdict
AlOH3,concentration of AlOH3 in soil water,mol L-1,,time,Y,N,N,outdict
AlOH4,concentration of AlOH4- in soil water,mol L-1,,time,Y,N,N,outdict
M_rock,"mass of feedstock in soil column (total feedstock, not mineral-specific; for mineral-specific mass see `M_min`)",g m-2,,time,Y,N,N,outdict
SA,"feedstock surface area (total feedstock, not mineral specific)",m2,,time,Y,N,N,outdict
EW,"??? Paper suggests this is the cation release flux due to feedstock weathering, but code indicates that EW has shape [n_minerals, t], not [n_cations, t]??",mol d-1,,"mineral, time",Y,N,N,outdict
min_st,"stoichiometric coefficients for each mineral in feedstock (shape [n_mineral, 6] where the 6 is: Ca, Mg, K, Na, Al, Si; in that order)",unitless,,"mineral, nutr",N,N,N,outdict
d,"grain diameter evolution (shape [n_minerals, time])",m,,"mineral, time",Y,N,N,outdict
delta_d,??? Not totally sure what this is — in my test run it's identical to `d`,???,,"mineral, time",Y,N,N,outdict
lamb,"??? Is this the roughness factor? (shape [n_mineral, time])",unitless,,"mineral, time",Y,N,N,outdict
SSA,"specific surface area (shape [n_mineral, time])",m2 g-1,,"mineral, time",Y,N,N,outdict
psd,"particle sediment diameter (not size distribution) (shape[n_mineral, time])",g m-1,,"mineral, time",Y,N,N,outdict
number_min,number of minerals represented in feedstock (should be `len(mineral)`),unitless,,[],Y,Y,N,outdict
rho_min,"??? Mineral density, Unused? Defined in biogeochem.py but commented out in constants.py",,,[],N,N,N,outdict
MM_min,molar mass of mineral (shape[n_mineral]),g mol-1,,mineral,Y,Y,N,outdict
E_H,mineral-specific activation energy for acid mechanism (shape[n_mineral]),kJ mol-1,,mineral,N,N,N,outdict
E_w,mineral-specific activation energy for water mechanism (shape[n_mineral]),kJ mol-1,,mineral,N,N,N,outdict
E_OH,mineral_specific activation energy for OH mechanism (shape[n_mineral]),kJ mol-1,,mineral,N,N,N,outdict
n_H,reaction order for acid dissolution (shape[n_mineral]) ,unitless,,mineral,N,N,N,outdict
n_OH,reaction order for OH dissolution (shape[n_mineral]),unitless,,mineral,N,N,N,outdict
K_sp,dissolution equilibrium constant ,(variable units),,[],N,N,N,outdict
k_diss_H_t,"reaction rate for acid mechanism (shape[n_mineral, time])",umol m-2 d-1,,"mineral, time",Y,Y,N,outdict
k_diss_w_t,"reaction rate for water mechanism (shape[n_mineral, time])",umol m-2 d-1,,"mineral, time",Y,Y,N,outdict
k_diss_OH_t,"reaction rate for OH mechanism (shape[n_mineral, time])",umol m-2 d-1,,"mineral, time",Y,Y,N,outdict
Omega,"saturation state with respect to feedstock mineral (shape[n_mineral, time])",unitless,,"mineral, time",Y,Y,N,outdict
M_min,"mass of feedstock mineral in soil column (shape[n_mineral, time]; for full feedstock mass see `M_rock`)",g m-2,,"mineral, time",Y,Y,N,outdict
